"run","mindir","probMoveRange","randomSeed","remembered","maxdir","savecoords","numAgents","steplength","eggsperlay","perception"
1,0.5,0.09,-229072039,100,0.75,"true",280,30,2,50
2,0.5,0.09,-229068766,100,0.75,"true",280,30,2,50
3,0.5,0.09,-229056638,100,0.75,"true",280,30,2,50
4,0.5,0.09,-229065472,100,0.75,"true",280,30,2,50
5,0.5,0.09,-229062566,100,0.75,"true",280,30,2,50
6,0.5,0.09,-229068611,100,0.75,"true",280,30,2,50
7,0.5,0.09,-229071932,100,0.75,"true",280,30,2,50
8,0.5,0.09,-229067867,100,0.75,"true",280,30,2,50
9,0.5,0.09,-229054991,100,0.75,"true",280,30,2,50
10,0.5,0.09,-229062564,100,0.75,"true",280,30,2,50
